"name","airplay_count","shows_count"
"Bell Biv DeVoe",43,1
"Nicki French",43,0
"Jesus Escobosa",43,0
"Descemer Bueno",43,0
"Paula Cole",43,15
"Fabolous",43,13
"Tony! Toni! Tone!",43,1
"D.H.T.",43,0
"Plain White T's",43,16
"Los Felices Del Rancho",42,0
"Living Colour",42,18
"That Mexican OT",42,21
"The Guess Who",42,36
"Maxwell",42,21
"Ranjita Kumari",42,0
"Pretty Ricky",42,3
"H.E.R.",42,0
"Djo",42,32
"Sting",41,53
"José Alfredo Jimenez",41,0
"Paul Wall",41,3
"DRODi",41,0
"Grupo La Etiqueta",41,0
"Juan Valentin",41,9
"Matt Maher",41,8
"Josh Abbott Band",41,20
"DMX",41,0
"Sanluis",41,0
"Nico & Vinz",41,0
"Chris de Burgh",41,1
"Kaitlin Butts",41,26
"Linda Ronstadt",41,1
"The Band Perry",41,7
"David Lee Murphy",41,25
"Tanner Usrey",40,70
"Edwin Luna y La Trakalosa de Monterrey",40,0
"Yung Bleu",40,2
"Grover Washington, Jr.",40,0
"Olivia Dean",40,13
"Ludacris",40,33
"MAR",40,0
"Edward Cobb",40,0
"Los Caminantes",40,0
"Ronald Isley",40,1
"Midland",40,35
"Mike Laure",40,0
"Tego Calderón",40,0
"Cody Carnes",40,21
"Reba McEntire",40,3
"Mike Ryan",40,12
"DJ Baddmixx",40,0
"We The Kingdom",40,51
"J. Brown",40,0
"Christian Alicea",40,1
"Charlie Zaa",39,4
"Rich Homie Quan",39,2
"La Dama Brava",39,0
"Will To Power",39,0
"Pedro Capó",39,0
"J. Cole",39,29
"DeBarge",39,0
"Blanco Brown",39,2
"DJ Dirty White",39,0
"Bomba Estereo",39,20
"Lil Jon",39,13
"MCTY",39,0
"Robin Thicke",39,6
"Band Aid",39,0
"Ini Kamoze",39,0
"Marky Mark And The Funky Bunch",39,0
"Counting Crows",39,66
"John Travolta",38,0
"Music Factory",38,0
"Derek & The Dominos",38,0
"Bad Omens",38,19
"Nayer",38,0
"Caroline Jones",38,1
"Afrojack",38,23
"Tracy Byrd",38,17
"Latin Beats",38,0
"The Pussycat Dolls",38,0
"Niko Moon",38,67
"Kanales",38,0
"Lola Beltrán",38,0
"La Septima Banda",37,2
"Francesca Battistelli",37,0
"Glenn Medeiros",37,0
"Chris Lane",37,19
"Tove Lo",37,0
"The Jets",37,68
"Juan Luis Guerra",37,0
"Cory Asbury",37,30
"Jaheim",37,4
"Dueto Las Palomas",37,0
"Portugal. The Man",37,39
"Deep Blue Something",37,0
"Wase",37,0
"Katrina & The Waves",37,0
"Ice Cube",37,36
"Gabito Ballesteros",37,7
"The Fixx",37,21
"Los Internacionales Cadetes de Jaime Vera",37,0
"Lil Yachty",37,44
"Nine Days",36,0
"Foghat",36,30
"Ratt",36,0
"Sérgio Mendes",36,1
"The Jacksons",36,13
"Chezi",36,0
"Dru Hill",36,33
"Meek Mill",36,2
"DeeJay FJ",36,0
"Adriel Favela",36,2
"Randall King",36,51
"Everlast",36,0
"B2D",36,0
"Lil Sho X",36,0
"Inner Circle",36,6
"Robby Poitevin",36,0
"Shane Smith & The Saints",36,44
"Lil Durk",36,20
"Sophie B. Hawkins",36,5
"Josh Baldwin",36,13
"War",35,7
"Kodak Black",35,4
"Neon Trees",35,27
"Ramón Ayala y Sus Bravos Del norte",35,0
"ROSE BEAT",35,0
"Gary Kemp",35,0
"Paul Young",35,29
"Jon Secada",35,0
"Patty Smyth",35,0
"Danzig",35,6
"Cross Canadian Ragweed",35,5
"James Blunt",35,17
"Plies",35,22
"Tevin Campbell",35,0
"Fountains of Wayne",35,1
"Joe Walsh",35,0
"Dolly Parton",35,0
"Ivan Davalos",35,0
"Gracie Binion",35,0
"Donny Hathaway",35,0
"Fantasia",35,12
"DJ Perreo",35,0
"Voz de Mando",35,0
"Las Hermanas Padilla",34,0
"Blueagent1",34,0
"De Parranda",34,0
"Babyface",34,16
"The Go-Go's",34,6
"Linger",34,0
"Walk The Moon",34,0
"Tyrese",34,15
"Quavo",34,4
"Ram Jam",34,0
"Daft Punk",34,0
"Pat Barrett",34,17
"Talking Heads",34,1
"Remmy Valenzuela",34,0
"SCANDAL",34,9
"Grupo Retro",34,0
"Rend Collective",34,46
"Twista",34,5
"French Montana",34,1
"Alien Ant Farm",34,18
"Lil Jon & The East Side Boyz",34,0
"Jeffrey Osborne",34,24
"Sugarhill Gang",33,6
"803Fresh",33,2
"IAmDJD",33,0
"JUANITO EL MILLONZUKI",33,0
"Sammy Kershaw",33,33
"Tones And I",33,3
"Tony Higuera",33,0
"Pete Townshend",33,0
"Bad Gyal",33,4
"Blu Cantrell",33,0
"Ramesh Muskan",33,0
"MGMT",33,0
"Lunay",33,0
"Brothers Osborne",33,46
"Los Lobos",33,43
"Los Cadetes De Linares De Homero Guerrero Jr.",33,0
"Clipse",33,0
"Teague Brothers Band",33,0
"Cosme Tadeo",33,0
"Jagged Edge",33,18
"Cochren & Co",32,2
"Vince Gill",32,54
"Black Sun",32,0
"Monteemiles",32,0
"JoJo",32,17
"Dj Mario Andretti",32,0
"Peter Cetera",32,0
"Banda Sinaloense MS de Sergio Lizárraga",32,0
"Lalo Mora",32,9
"Blue October",32,59
"Soul for Real",32,1
"Easton Corbin",32,16
"King George",32,25
"Shinedown",32,44
"Julie Andrews",32,0
"Eslabon Armado",32,37
"Key Glock",31,35
"Jordin Sparks",31,0
"Jerry Rivera",31,3
"Alicia Villarreal",31,28
"Kesha",31,28
"Everything but the Girl",31,0
"Michael W. Smith",31,48
"Ryan Ellis",31,2
"Atlus",31,7
"Funk Avy",31,0
"Mase",31,0
"Musiq",31,1
"Nego Do Borel",31,0
"Bachata Para Bailar",31,0
"Laura Branigan",31,0
"One Direction",31,0
"Henry Mancini",31,0
"K-Ci & JoJo",31,0
"La Poderosa Banda San Juan",31,0
"Adolfo Urias",31,0
"fun.",31,0
"Jason Boland & The Stragglers",31,16
"Tee Grizzley",31,1
"Marcus King",30,62
"Los Dos Reales",30,0
"Los Dareyes De La Sierra",30,2
"Cassie",30,0
"Chappell Roan",30,56
"Hope Darst",30,1
"Almost Monday",30,15
"Leo Dan",30,5
"Tony Montoya",30,0
"Diamond Rio",30,30
"The Righteous Brothers",30,57
"Waylon Jennings",30,2
"Lisa Loeb",30,4
"Olivia Newton-John",30,0
"Aaron Watson",30,16
"C & C Music Factory",30,0
"Los Tiranos Del Norte",30,0
"Los Canelos De Durango",30,0
"Trey Songz",30,57
"Javier Solis",30,0
"Cream",29,0
"The Manhattans",29,5
"Dj Twise",29,0
"Olivia Newton John",29,0
"Steely Dan",29,17
"Nacho",29,0
"Sweet",29,6
"The Jackson 5",29,0
"Julio Preciado",29,0
"Flatland Cavalry",29,90
"Grupo Sexto Sentido",29,0
"Juice WRLD",29,1
"Khalid",29,1
"Stevie B",29,4
"Emerson Day",29,0
"Código FN",29,0
"Eiffel 65",29,0
"Ivy Queen",29,2
"Duncan Sheik",29,0
"Whiskey Myers",29,68
"Rob49",29,7
"Hootie & The Blowfish",29,10
"Migos",29,0
"Grupo Limite",28,0
"La Sonora Dinamita",28,2
"Enigma Norteño",28,0
"System of a Down",28,7
"The Edgar Winter Group",28,0
"Stormzy",28,0
"Luniz",28,1
"Riley Clemmons",28,9
"Fuel",28,8
"John Parr",28,0
"Donell Jones",28,3
"Papa Roach",28,38
"Dexter and The Moonrocks",28,31
"Ledisi",28,58
"Brent Faiyaz",28,0
"Kevin Lyttle",28,0
"Caleb and John",28,7
"Josh Groban",28,8
"Lucenzo",28,0
"DJ Niar",28,0
"Dj Pop",28,0
"The Whispers",28,18
"Wolfine",28,0
"Smiler",28,0
"Beck",28,16
"DJ KAORI",28,0
"Yolanda Del Rio",28,0
"The Chicks",28,0
"P.O.D.",28,30
"G Herbo",27,14
"Bangles",27,0
"OMC",27,0
"Rupert Holmes",27,0
"Arcangel",27,3
"Julieta Lopez",27,0
"Davido",27,9
"Baby Tate",27,5
"The Animals",27,0
"Ice Spice",27,2
"Swedish House Mafia",27,1
"Angel y Khriz",27,0
"Esau Ortiz",27,0
"Lukas Graham",27,6
"Antonio Bribiesca",27,0
"Grupo Exterminador",27,0
"Grupo La Migra",27,0
"Edgardo Nuñez",27,3
"Tank",27,34
"Dueto Miseria",27,0
"Lil Tuki",27,0
"Bobby V",27,20
"Nate Dogg",27,0
"Vanessa Williams",27,2
"Nicki Nicole",27,0
"Tal Bachman",27,0
"Nicky Youre",26,10
"JetX",26,0
"Samantha Ebert",26,0
"DJ Sunza",26,0
"Los Mier",26,0
"Priscilla Block",26,54
"Angelica Maria",26,0
"Mary Mary",26,1
"Kidd Kidd",26,0
"Kyle",26,3
"Elvis Crespo",26,3
"Kiki Dee",26,1
"Tom Tom Club",26,0
"Pluto",26,0
"Young Money",26,0
"Pentatonix",26,13
"Robert Earl Keen",26,11
"Will Smith",26,7
"Norteños de Ojinaga",26,0
"DJ CARLEEX",26,0
"Sonido Godzila",26,0
"Dazy",26,1
"Kirk Franklin",26,7
"Ramón Ayala",26,11
"DJ MAYUMI",26,0
"James Taylor",26,64
"Sergio Vega ""el Shaka""",26,0
"Dabo Boys",25,0
"J. Whiz",25,0
"YG",25,0
"Big Mike",25,0
"Rachael Lampa",25,0
"Serapio Ramirez",25,0
"Zach Kaye",25,0
"Alegres De La Sierra",25,0
"Reckless Kelly",25,13
"Lipps Inc.",25,0
"Thurl Ravenscroft",25,0
"Kcee",25,0
"DJ Xplosive",25,0
"Pop Mix",25,0
"Quality Control",25,0
"Dimelo Flow",25,0
"DJ Pride",25,0
"BIA",25,2
"Joss Favela",25,0
"Aaron Neville",25,0
"VDJ AGREV",25,0
"Daughtry",25,70
"Dei V",25,16
"Neil Diamond",25,1
"Luis R Conriquez",25,26
"Travis Roberts",25,1
"Magic 1",25,0
"Los Nuevos Rebeldes",25,1
"Treaty Oak Revival",25,79
"Passion",25,10
"Only Mix",25,0
"Gossip Girl",25,0
"Cuco Sánchez",25,0
"Angela Aguilar",25,3
"Humberto Montalti",25,0
"Swae Lee",25,2
"Taqtaqa",24,0
"Noel Torres",24,2
"Given Rand",24,0
"Chico Chicano",24,0
"Naomi Raine",24,0
"Rockwell",24,0
"Blanca",24,0
"Simony",24,0
"Artemas",24,29
"Colter Wall",24,32
"Chuy Vega y Los Nuevos Cadete",24,0
"Saweetie",24,1
"Pharrell",24,0
"Barry Manilow",24,96
"Jawsh 685",24,0
"Audioslave",24,0
"Bad English",24,0
"Los Alegres Del Barranco",24,5
"DJ K-More",24,0
"Lojay",24,0
"Edward Maya",24,0
"Rosie O'Donnell",24,0
"RUN-DMC",24,0
"Tainy",23,0
"Glenn Frey",23,0
"Los Traileros Del Norte",23,0
"Eve 6",23,4
"The Crystals",23,0
"Stevie Ray Vaughan",23,0
"Disclosure",23,8
"Groove Theory",23,0
"SANTOS BRAVOS",23,0
"Hijos De Barron",23,1
"Vika Jigulina",23,0
"Kevin Fowler",23,5
"Marc Martel",23,15
"Gucci Mane",23,9
"The A-Strings",23,0
"Fetty Wap",23,0
"Pusha T",23,6
"Felipe Arriaga",23,0
"Ashley Cooke",23,66
"4batz",23,2
"Pliers",23,3
"Grupo Legitimo",23,1
"William Beckmann",23,13
"Pancho Ferron",23,0
"Joe Diffie",23,0
"Kenny P.",23,0
"YgtRecords",23,0
"Total",23,6
"Dj TikTok Viral",23,0
"AWOLNATION",23,37
"The Marshall Tucker Band",23,73
"rainy lips",22,0
"Cameo",22,2
"Webbie",22,1
"La Hija Del Mariachi",22,0
"Cost Quântico",22,0
"Seether",22,34
"America",22,15
"BrocoBeat",22,0
"Palomo",22,0
"Disney",22,0
"Bastille",22,9
"Gracie Abrams",22,25
"American Aquarium",22,27
"Braian Leiva",22,0
"George Harrison",22,0
"Demi Lovato",22,1
"Omega",22,0
"Percy Faith & His Orchestra",22,0
"CKC Clique",22,0
"John Baumann",22,2
"Thomas Richard Peter Howe",22,0
"Good Charlotte",22,5
"Maddie & Tae",22,22
"Judas Priest",22,26
"Derkommissar",22,0
"Fer Palacio",22,0
"Lola Young",22,26
"Maldy",22,0
"Reggaeton Band",22,0
"Sheryl Crow",22,19
"Ludwig Van Beethoven",22,0
"Gyptian",22,3
"Tibau Mascheroni",22,0
"Big Sean",22,2
"lovelytheband",22,23
"Charlie Wilson",22,23
"Baby Bash",22,5
"Tito Y Su Torbellino",22,0
"Tony De La Rosa",21,0
"Brent Cobb",21,27
"Andrea Bocelli",21,47
"Musiq Soulchild",21,42
"Faith No More",21,0
"Rupee",21,0
"Sammy Hagar",21,12
"Macc Martelli",21,0
"Industria Del Amor",21,3
"Freak Nasty",21,0
"Glee Cast",21,0
"Jhene Aiko",21,16
"Jennie",21,1
"Laberinto",21,0
"Tory Lanez",21,0
"Kenya Grace",21,6
"Hayes Carll",21,40
"Sentury",21,0
"Jackson Browne",21,13
"Zyleix",21,0
"Consumed by Fire",21,0
"DJ MIX NON-STOP CHANNEL",21,0
"Tori Kelly",21,21
"Federico Villa",21,0
"TRAE THA TRUTH",21,0
"Radney Foster",21,5
"Kigga",21,0
"The Hollies",21,0
"Tamia",21,20
"Love and Theft",21,3
"Lil Skittle",21,0
"DJ Elias Villabrille",21,0
"Top Gun",21,0
"Sisqo",21,0
"Travie McCoy",20,1
"MAX",20,1
"Jimmy Buffett",20,1
"The Red Jumpsuit Apparatus",20,19
"Kelly Rowland",20,1
"Verdun Remix",20,0
"Chris Cagle",20,14
"Arthur Fiedler",20,0
"Los Yonic's",20,2
"Joey Montana",20,0
"Conjunto Rio Grande",20,0
"Hillsong Worship",20,0
"RoaminAround713",20,0
"Mr. G",20,0
"2 Chainz",20,10
"Thomas Dolby",20,4
"Los Alegres de Terán",20,0
"Banda Arkangel R-15",20,4
"Muthahupa",20,0
"Ravyn Lenae",20,14
"Eagle-Eye Cherry",20,0
"El Komander",20,0
"Yotuel",20,0
"Mario Winans",20,0
"Franz Ferdinand",20,36
"El Alfa",20,5
"Peezy",20,9
"Frankie J",20,1
"Three Dog Night",19,80
"Ella Fitzgerald",19,0
"Grupo Miramar",19,0
"El Chaval De la Bachata",19,0
"Thirty Seconds To Mars",19,4
"Los 2 de la S",19,1
"Corona",19,1
"New Radicals",19,0
"YKNIECE",19,0
"Wild Cherry",19,0
"Israel Fiore",19,0
"Allan Sherman",19,0
"Jhay Cortez",19,0
"Al Green",19,1
"Deana Carter",19,17
"Cash Cobain",19,0
"Juan Luis Guerra 4.40",19,0
"Malice",19,0
"DJ Johan Taborda",19,0
"Ryan Bingham",19,32
"Sturgill Simpson",19,36
"National Anthem Worx",19,0
"Sara Evans",19,46
"Jason Scott & The High Heat",19,0
"Donny Goines",19,0
"Jam Melgarejo",19,0
"Jordan St. Cyr",19,0
"Neal McCoy",19,22
"DJ Spyro",19,0
"Luis Enrique",19,1
"DJ Moys",19,0
"Wynonna Judd",19,42
"Skilla Baby",19,24
"Zion",19,0
"Go West",19,6
"Steven Curtis Chapman",19,17
"Mystikal",19,0
"Dj jabato",19,0
"Old 97's",19,25
"artistmusical",19,0
"Nazareth",18,13
"Maphex Deck",18,0
"Anthony Hamilton",18,26
"Jesse",18,0
"Mumford & Sons",18,45
"Major Lazer",18,0
"Encuentro Norteño",18,0
"Recovery Mafia",18,0
"Barry White",18,0
"Nico Vallorani DJ",18,0
"Antonio Tanguma",18,0
"K Camp",18,1
"Breaking Benjamin",18,81
"The Mighty Mighty Bosstones",18,0
"Paul Simon",18,65
"Lo Mejor del Rock de Los 70",18,0
"Asleep at the Wheel",18,34
"Cuisillos De Arturo Macias",18,0
"Grand Funk Railroad",18,24
"Buffalo Springfield",18,0
"Warren Zevon",18,0
"8Uno",18,0
"Miami Sound Machine",18,0
"Temple of the Dog",18,0
"DJ Prospect",18,0
"Los De La Nada",18,0
"Tik Tok",18,0
"Sunny Sweeney",18,22
"Nicolas Maulen",18,0
"Grupo Marca Registrada",18,3
"Shane & Shane",18,1
"Chevelle",18,53
"Los Humildes Hnos. Ayala",18,0
"Waka Flocka Flame",18,15
"Victor Cardenas",17,2
"Midnight Oil",17,0
"JT",17,1
"Driven the Rockstar Kid",17,0
"Kari Jobe",17,14
"702",17,4
"The Royal Philharmonic Orchestra",17,0
"G.NAS.T",17,0
"NVBR",17,0
"DJ",17,0
"Josh Ward",17,7
"Lola Brooke",17,7
"Charlie Robison",17,0
"La Energia Norteña",17,0
"Dj Adoni",17,0
"Bobby Pulido",17,14
"Sidewalk Prophets",17,6
"Nas",17,4
"Brandon Heath",17,8
"Xscape",17,8
"KiD Ink",17,0
"Stealers Wheel",17,0
"CKay",17,0
"Slade Coulter",17,4
"Muscadine Bloodline",17,45
"Yesenia Flores",17,8
"Omar Ruiz",17,0
"Josh Meloy",17,39
"Ty Herndon",17,6
"Maze",17,8
"John Anderson",17,7
"AJR",17,49
"Cinderella",17,0
"House of Pain",17,0
"Thundercat",17,9
"Dj Morant",17,0
"Kardinal Offishall",17,0
"Ghost Town DJs",17,0
"Speaky",17,0
"Stephen Biokoro",17,0
"Glass Tiger",17,18
"Cory Morrow",17,2
"Natalie Layne",17,2
"Los Angeles Negros",17,1
"City Girls",17,0
"Juan Arnedo OK",17,0
"The Waitresses",17,0
"Various Artists",17,0
"Byron Messia",17,0
"Rii Edit",17,0
"DJ Reggaeton",17,0
"Jennifer Paige",17,0
"James McMurtry",17,27
"Enys'e",17,0
"Chayanne",17,4
"Hermanos Barron",17,0
"Hi-Five",16,1
"James Bay",16,28
"Young Buck",16,0
"Paul Miro",16,0
"Dillon Carmichael",16,25
"Saul El Jaguar Alarcón",16,0
"DJ Piero Pineda",16,0
"Dj Lil Yankee",16,0
"Lil' Troy",16,0
"Kim Wilde",16,7
"KB5",16,0
"Trapt",16,19
"George Benson",16,4
"Banda Movil",16,0
"Trade Union",16,0
"Royel Otis",16,43
"Sebastian Yatra",16,0
"Anne Murray",16,0
"Passenger",16,0
"SKEEMZZ ACE BRAVO",16,0
"Player",16,0
"Kent Jones",16,0
"Tree Thomas",16,0
"Santiago Novello",16,0
"Viento Y Sol",16,0
"The Temptations",16,71
"The Tubes",16,12
"Mariachi Vargas de Tecalitlan",16,13
"Casey Donahew",16,22
"Chic",16,0
"Diego Verdaguer",16,0
"Laufey",16,41
"Estela Nuñez",16,0
"Bodie",16,6
"Florence + The Machine",16,0
"Control",16,0
"Anita Baker",16,6
"Los Felinos",16,0
"Fridayy",16,15
"Finger Eleven",16,6
"Los Alegres De Teran",16,0
"José Luis Rodríguez",15,2
"Sawyer Brown",15,36
"Hank Weaver",15,0
"NFL",15,0
"AG Fernandez",15,0
"Bonnie Raitt",15,79
"Patrick Mayberry",15,0
"Gary P. Nunn",15,0
"The Moody Blues",15,1
"Mark Wills",15,5
"Impacto De Montemorelos",15,0
"Dj 3assaf",15,0
"Reneé Rapp",15,8
"keri nguyen",15,0
"Emmi Dj",15,0
"Grateful Dead",15,0
"Switchfoot",15,16
"The Cult",15,2
"Craig Morgan",15,11
"Ellie Holcomb",15,19
"EZE Vallejo",15,0
"Big Brother & The Holding Company",15,0
"Los Plebeyos",15,0
"Big & Rich",15,8
"La Energia Nortena",15,1
"DHT",15,0
"Bujimix",15,0
"Erykah Badu",15,4
"Anycia",15,4
"Magic",15,0
"Dee Mula",15,0
"Nahuu Aguilar",15,0
"Distant Matter",15,0
"Los Legendarios",15,0
"De La Soul",15,6
"The Remix Cartell",15,0
"Silverada",15,6
"La Revolución De Emiliano Zapata",15,0
"Fito Olivares",15,0
"Dueto Azteca",15,0
"DJ Palacios",15,0
"Los Viejones De Linares",15,0
"El Chapo",15,0
"Juvenile",15,25
"Felinos",15,0
"Oingo Boingo",15,0
"Avant",15,0
"Young Floss",15,0
"Acapulco Tropical",15,0
"Chloe Kimes",15,0
"Olga Tanon",15,2
"Kylie Frey",15,2
"Grupo Laberinto",15,5
"Los Pescadores del Rio Conchos",15,0
"Soul Asylum",15,3
"MJP Muzik",15,0
"Astropical",15,16
"The Chipmunks",15,0
"Dwight Yoakam",15,71
"The Marcus King Band",15,24
"Gary Clark",15,0
"DJ Lenny Ducano",15,0
"Dueto Amanecer",14,0
"Yoko Ono",14,0
"Bruce Hornsby",14,25
"General Public",14,12
"Bryan Martin",14,30
"Elle King",14,28
"The Range",14,0
"The Allman Brothers Band",14,0
"Việt Anh",14,0
"Liban Garza",14,0
"Virlan Garcia",14,0
"Gilberto Valenzuela",14,0
"David Bisbal",14,20
"Lisa Lisa & Cult Jam",14,0
"Howard Jones",14,0
"Selena Y Los Dinos",14,0
"Housefires",14,0
"T3R Elemento",14,0
"Lipa DJ",14,0
"Raul Hernandez",14,10
"Los Terricolas",14,0
"Chad Hugo",14,0
"Harry Simeone Chorale",14,0
"Grupo Pegasso",14,0
"Cameron Allbright",14,0
"LL Cool J",14,2
"Shelby Stone",14,1
"LMFAO",14,0
"Nick Jonas",14,0
"Lil Zkillz",14,0
"Dalex",14,0
"Johnny Gill",14,10
"PALOMAZO NORTEÑO",14,6
"Lucky Luciano",14,0
"James Otto",14,1
"The Verve",14,0
"Caled Torres",14,0
"Micky and The Motorcars",14,5
"Miguel ""Michael"" Salgado",14,0
"Johnnie Black",14,0
"Kolby Cooper",14,26
"Lasgo",14,0
"Los Ramones De Nuevo Leon",14,0
"Uncle Lucius",14,16
"Naughty by Nature",14,1
"Hit Singers",14,0
"The Deele",14,0
"Dueto América",14,0
"Beenie Man",14,2
"The Pointer Sisters",14,2
"Harvey Danger",14,0
"Peter Burton",14,0
"Big Pun",14,0
"Wyatt Flores",14,67
"Casa De Leones",14,0
"Shenandoah",14,42
"Irresistible",14,0
"Enya",14,0
"Dueto Aguila",14,0
"The Kinks",14,0
"Treekoo",14,0
"Jack Ingram",13,5
"Phil Vassar",13,6
"Dj Fuego",13,0
"JJ Heller",13,0
"Reggae Mix USA",13,0
"De La Ghetto",13,3
"Guy",13,0
"El Mimoso Luis Antonio López",13,0
"The Carpenters",13,0
"Gretchen Wilson",13,14
"Young Jeezy",13,0
"Mariachi Los Camperos",13,7
"Noah Kahan",13,50
"Innovacion",13,0
"Mike WiLL Made-It",13,0
"La Mafia",13,5
"Mackenzie Carpenter",13,9
"Rob Base",13,6
"David Lee Roth",13,3
"Maty Deejay",13,0
"Popcaan",13,0
"Enur",13,0
"OMI",13,0
"Sam Barber",13,68
"Charles Wesley Godwin",13,81
"Molotov",13,16
"Bob Dylan",13,90
"ROSÉ",13,0
"Chris Knight",13,13
"Jeezy",13,20
"Mi Banda El Mexicano",13,9
"Flyleaf",13,7
"Conjunto Africa",13,0
"Tyce Delk",13,0
"Metrixx",13,0
"Gilberto Santa Rosa",13,16
"INOJ",13,0
"Matt Nathanson",13,16
"Wayne Wonder",13,0
"Jack White",13,37
"Steve Cattani",13,0
"Zion y Lennox",13,0
"Mint Condition",13,0
"Baby Ranks",13,0
"Jerry Jeff Walker",13,0
"Vanessa Campagna",13,0
"Fito Olivares Y Su Grupo",13,0
"Orleans",13,3
"Juan Magan",13,0
"Avery Anna",13,30
"Information Society",13,1
"Dominic Marsh",13,0
"One Sonic Society",13,0
"Violento",13,0
"The Plastic Ono Band",13,0
"Foxes",13,0
"Lauti Andrade",13,0
"TeeJay",13,1
"Eddy Lover",13,0
"Pedrito Fernández",13,0
"Lil Tjay",13,11
"Ying Yang Twins",13,36
"Tesla",13,47
"Los Incomparables De Tijuana",13,0
"Cascada",13,7
"Mariano Barba",13,0
"Grupo Anhelo",13,0
"Yndio",13,0
"Bethel Music",13,4
"See You Tonight",13,0
"The Damn Quails",13,3
"Charlie Chan",13,0
"Jesús Ojeda Y Sus Parientes",13,0
"Daya",13,3
"Gordon Lightfoot",13,0
"Bone Thugs-N-Harmony",13,30
"Matt Redman",13,0
"Aqua",13,23
"Banda Maguey",13,9
"Rage Against the Machine",13,0
"Latin Life",13,0
"Keri Hilson",13,18
"Calle 13",13,0
"Mike Posner",13,1
"Roscoe Dash",13,0
"Greg Hatwell",13,0
"NEEDTOBREATHE",13,35
"It's DDJ",12,0
"Serani",12,0
"Ace Hood",12,1
"Cazzu",12,0
"John K",12,0
"ABC",12,18
"Los Rancheritos Del Topo Chico",12,0
"Steven Tyler",12,0
"SG Li Laun",12,0
"Kristian Stanfill",12,1
"Foxx",12,0
"Terror Fabulous",12,0
"Lalo Mora y su Grupo Peregrino",12,0
"Tyler Nance",12,2
"La Diosa",12,0
"Travis Denning",12,13
"Amr Yousef",12,0
"Johnny Hates Jazz",12,0
"FishanatorNL",12,0
"StaySolidRocky",12,0
"Tyler, The Creator",12,56
"Aaliyah",12,0
"Chase Bennett",12,0
"Voice",12,1
"Steve Fawcett",12,0
"K-Paz De La Sierra",12,0
"Pablo Cardona",12,0
"Natanael Cano",12,2
"Karla Bonoff",12,20
"Stoney LaRue",12,12
"Tom Hamilton",12,6
"Mexican Music Factory",12,0
"Joaquin Sabina",12,1
"Foster The People",12,8
"Logan Ryan Band",12,1
"Tenth Avenue North",12,5
"El Tiempo",12,0
"Kajagoogoo",12,0
"The Ataris",12,5
"Shane Profitt",12,2
"The Charlie Daniels Band",12,0
"Sean McConnell",12,3
"Dellie",12,0
"Alexandra Stan",12,0
"Deborah Cox",12,1
"Los Morros Del Norte",12,2
"DJ Dave Jam",12,0
"Valentin Elizalde",12,0
"Jason Isbell & the 400 Unit",12,82
"La Bouche",12,1
"Guy Clark",12,0
"Jaden Smith",12,0
"Ulices Chaidez Y Sus Plebes",12,0
"Jenn Johnson",12,0
"Los Freddys",12,0
"Colmillo Norteño",12,0
"Jabbawockeez",12,128
"Capital Cities",12,2
"Rise Against",12,38
"Wheatus",12,31
"Don Toliver",12,18
"Melissa Etheridge",12,91
"Isaiah Fisher",12,0
"BTS",12,0
"Jim Croce",12,0
"Switch",12,0
"Los Del Arroyo",12,0
"Jeremy Rosado",12,0
"Polo G",12,4
"DJ XC2",12,0
"Lalah Hathaway",12,18
"BoneBreaker Jones",12,0
"Lukas Nelson",12,39
"DJ Maze",12,0
"Steve Fame",12,0
"Jarrod Morris",12,0
"FASSounds",12,0
"Koryn Hawthorne",12,2
"Lil Fart God",12,0
"Harold Faltermeyer",12,0
"'Til Tuesday",12,1
"Landon Wolfe",11,0
"Mariachi Sol de Mexico de Jose Hernandez",11,0
"Jackson Galati",11,0
"John Moreland",11,17
"David Essex",11,0
"GoldLink",11,0
"Emerson, Lake & Palmer",11,2
"Los Gfez",11,0
"Lee Brown",11,0
"Felix Jaehn",11,0
"El Tigrillo Palma",11,0
"La Sonora Dinamita Con Margarita",11,0
"Proyecto X",11,0
"Wyclef Jean",11,0
"Yeah Yeah Yeahs",11,19
"MØ",11,1
"Irene Rivas",11,0
"EMF",11,16
"Camper",11,0
"El Potro De Sinaloa",11,0
"Icona Pop",11,1
"Remix Tendencia",11,0
"Adam Ant",11,42
"Default",11,2
"Sunshine Anderson",11,5
"Adam Hood",11,19
"The Four Seasons",11,10
"A.B. Quintanilla III",11,0
"Aretha Franklin",11,0
"Abstract Posters",11,0
"Keenyn Omari",11,0
"TikTok",11,0
"Jon B",11,0
"Mariah Angeliq",11,0
"Skepta",11,6
"Tone Stith",11,1
"Dj Pirata",11,0
"Grind Mode",11,0
"The Knack",11,0
"Petey Pablo",11,1
"Tiranos Del Norte + Grupo Exterminador",11,0
"Pras",11,0
"Polo Urias",11,1
"Bay Swag",11,0
"Los Tigrillos",11,0
"Ryan Stevenson",11,5
"Rhett Walker",11,0
"Chieli Minucci",11,1
"Matteo Bocelli",11,13
"Vado",11,0
"Devo",11,25
"Iann Dior",11,28
"Stephen McWhirter",11,0
"Teyana Taylor",11,0
"DJ Luigi",11,0
"Gary Numan",11,19
"Straight No Chaser",11,47
"Måneskin",11,0
"Sonora Tropicana",11,0
"YuriesMix",11,0
"Roger Creager",11,6
"Nipsey Hussle",11,0
