"name","airplay_count","shows_count"
"Corey Kent",283,74
"Roxette",278,1
"Timbaland",276,2
"Shaggy",275,21
"Frank Sinatra",275,1
"Leon Thomas",275,9
"Peso Pluma",273,21
"Stone Temple Pilots",272,8
"Zac Brown Band",270,33
"Céline Dion",270,0
"Alan Jackson",269,4
"Eric Church",268,15
"Quevedo",268,6
"Ariana Grande",267,0
"Lady A",265,7
"Lee Brice",263,56
"Third Eye Blind",263,27
"John Oates",262,23
"Michael Bublé",262,2
"Bob Seger",262,0
"Shania Twain",262,21
"MR Big",262,33
"Belinda",260,1
"La Maquinaria Nortena",259,6
"Billy Ocean",258,22
"Nicki Minaj",256,39
"2Pac",256,0
"Imagine Dragons",256,16
"Antonio Aguilar",255,0
"Paul McCartney",255,2
"Mary J. Blige",255,24
"Stevie Wonder",254,5
"Steve Winwood",253,10
"Boyz II Men",253,40
"Nelly",252,86
"La Original Banda El Limón De Salvador Lizárraga",252,0
"Los Invasores de Nuevo Leon",251,7
"Cheap Trick",251,56
"Fine Young Cannibals",249,0
"Faith Hill",247,0
"Ernest",246,83
"Luis Figueroa",245,0
"Jennifer Warnes",244,0
"Jimmy Eat World",243,80
"Rick Springfield",241,70
"Lil Wayne",240,36
"Jonas Brothers",239,50
"Gwen Stefani",239,8
"Twisted Sister",238,0
"Gloria Estefan",237,2
"MARI",237,0
"A Flock of Seagulls",233,42
"Toby Keith",233,2
"Luis Angel ""El Flaco""",232,23
"Destiny's Child",231,0
"Kali Uchis",231,2
"Los Dos Carnales",231,11
"Banda Los Recoditos",230,7
"Bronco",230,24
"When In Rome",230,3
"Jon Pardi",229,53
"Motley Crue",229,19
"Doja Cat",229,12
"Mike Bahía",228,0
"Josh Ross",228,38
"Camilo",227,0
"Daryl Hall & John Oates",226,0
"Myles Smith",225,28
"Weezer",225,25
"Miranda Lambert",225,41
"blink-182",225,31
"Peter Gabriel",224,0
"Lewis Somes",224,0
"The Human League",224,12
"Lucho RK",223,0
"Dirt Road",223,0
