"venue_name","venue_city","venue_state","venue_capacity","total_events","prime_night_events","off_night_events","prime_night_share","off_night_share"
"The Hobart Art Theater","Hobart","IN",NULL,36,28,8,77.78,22.22
"Amphitheater at the Wharf","Orange Beach","Alabama",10000,81,63,18,77.78,22.22
"Disneyland","Anaheim","California",0,36,28,8,77.78,22.22
"Gruene Hall","New Braunfels","TX",500,27,21,6,77.78,22.22
"Family Arena","Saint Charles","Missouri",11522,45,35,10,77.78,22.22
"Unknown venue","Hartford","CT",NULL,27,21,6,77.78,22.22
"O'Riley's","Hull",NULL,NULL,27,21,6,77.78,22.22
"The Midway","San Francisco","California",2500,126,98,28,77.78,22.22
"Zouk Club","Singapore",NULL,NULL,27,21,6,77.78,22.22
"AJ's Good Time Bar","Nashville","TN",NULL,54,42,12,77.78,22.22
"Unknown venue","Bolzano",NULL,NULL,27,21,6,77.78,22.22
"Teatro Diana","Guadalajara",NULL,NULL,99,77,22,77.78,22.22
"Unknown venue","Fort Lauderdale","FL",NULL,54,42,12,77.78,22.22
"Reineke Fuchs","Cologne",NULL,NULL,27,21,6,77.78,22.22
"Totara Street","Tauranga",NULL,NULL,27,21,6,77.78,22.22
"Theatre Royal","Castlemaine","VIC",NULL,99,77,22,77.78,22.22
"Texas Live!","Arlington","TX",NULL,36,28,8,77.78,22.22
"City Limits Saloon","Raleigh","North Carolina",0,27,21,6,77.78,22.22
"Sofar Sounds","Atlanta","GA",NULL,27,21,6,77.78,22.22
"Redstone Room","Davenport","IA",NULL,27,21,6,77.78,22.22
"The Deltaplex","Grand Rapids","Michigan",0,36,28,8,77.78,22.22
"Sherman Theater","Stroudsburg","PA",NULL,157,122,35,77.71,22.29
"Mezzanine","San Francisco","CA",1000,112,87,25,77.68,22.32
"CODA","Cleveland","OH",NULL,94,73,21,77.66,22.34
"Orleans Showroom, Orleans Hotel & Casino","Las Vegas","NV",NULL,85,66,19,77.65,22.35
"Ctnow.com Meadows Music Theatre","Hartford","Connecticut",0,85,66,19,77.65,22.35
"Southern Junction","Royse City","TX",NULL,161,125,36,77.64,22.36
"Murray Hill Theatre","Jacksonville","FL",NULL,67,52,15,77.61,22.39
"Unknown venue","Atlanta","GA",NULL,192,149,43,77.60,22.40
"Outpost","Liverpool",NULL,NULL,58,45,13,77.59,22.41
"Eden","Ibiza",NULL,NULL,58,45,13,77.59,22.41
"Dos Equis Pavilion","Dallas","TX",NULL,116,90,26,77.59,22.41
"Washington State Fair Events Center","Puyallup","Washington",0,49,38,11,77.55,22.45
"Unknown venue","Bangkok",NULL,NULL,49,38,11,77.55,22.45
"Shipping & Receiving","Fort Worth","TX",NULL,98,76,22,77.55,22.45
"Unknown venue","Rochester","NY",NULL,49,38,11,77.55,22.45
"Mill Town Music Hall","Bremen","GA",NULL,49,38,11,77.55,22.45
"Hollywood Sportatorium","Hollywood","Florida",0,138,107,31,77.54,22.46
"Caydence Records And Coffee","St. Paul","MN",NULL,40,31,9,77.50,22.50
"Unknown venue","Greensboro","NC",NULL,40,31,9,77.50,22.50
"Unknown venue","Athens","GA",NULL,40,31,9,77.50,22.50
"The Stable Music Hall and Lounge","Bloomington","IL",NULL,40,31,9,77.50,22.50
"Lutakko","Jyväskylä",NULL,NULL,80,62,18,77.50,22.50
"Cowboys Dancehall","San Antonio","Texas",5500,80,62,18,77.50,22.50
"Royal Hotel Queanbeyan (rhq)","Queanbeyan","NSW",NULL,40,31,9,77.50,22.50
"Blue Moon Saloon & Guest House","Lafayette","LA",NULL,40,31,9,77.50,22.50
"The Oasis Wynwood","Miami","FL",NULL,40,31,9,77.50,22.50
"Dallas Memorial Auditorium","Dallas","Texas",0,40,31,9,77.50,22.50
"The Hideout","Chicago","Illinois",0,40,31,9,77.50,22.50
"New Lenox Commons","New Lenox","Illinois",0,40,31,9,77.50,22.50
"The Tote","Collingwood","VIC",NULL,120,93,27,77.50,22.50
"Flagstaff Brewing Company","Flagstaff","AZ",500,40,31,9,77.50,22.50
"JB Lovedraft's","Harrisburg","PA",NULL,40,31,9,77.50,22.50
"Southwest Performing Arts Center","Bonita Springs","FL",NULL,40,31,9,77.50,22.50
"NRG Arena @ NRG Park","Houston","Texas",10000,40,31,9,77.50,22.50
"Dos Amigos","Odessa","TX",NULL,40,31,9,77.50,22.50
"Unknown venue","New Brunswick","NJ",NULL,40,31,9,77.50,22.50
"Boston Symphony Hall","Boston","MA",NULL,80,62,18,77.50,22.50
"Unknown venue","Oxford",NULL,NULL,40,31,9,77.50,22.50
"Q Casino And Hotel","Dubuque","Iowa",0,40,31,9,77.50,22.50
"Le Moloco","Audincourt",NULL,NULL,71,55,16,77.46,22.54
"Hawks & Reed Ballroom","Greenfield","MA",NULL,71,55,16,77.46,22.54
"Prysm Nightclub","Chicago","Illinois",0,71,55,16,77.46,22.54
"Strand Theatre","Providence","RI",NULL,71,55,16,77.46,22.54
"Byscenen","Trondheim",NULL,NULL,102,79,23,77.45,22.55
"Cuckoo's Nest","Costa Mesa","California",0,31,24,7,77.42,22.58
"Paramount Theatre","Rutland","VT",NULL,31,24,7,77.42,22.58
"De Spot","Middelburg",NULL,NULL,31,24,7,77.42,22.58
"Bar Oriente","Mexico City",NULL,NULL,31,24,7,77.42,22.58
"Live Curitiba","Curitiba",NULL,NULL,31,24,7,77.42,22.58
"The Wooly","Gainesville","FL",NULL,31,24,7,77.42,22.58
"Hard Rock Hotel & Casino","Las Vegas","Nevada",0,31,24,7,77.42,22.58
"Antiguo Aquapark","Calvia",NULL,NULL,31,24,7,77.42,22.58
"Unknown venue","Lancaster","PA",NULL,31,24,7,77.42,22.58
"Kulturhaus Stadtgarten Neuruppin","Neuruppin",NULL,NULL,31,24,7,77.42,22.58
"The Space Concert Club","Salem","OR",NULL,31,24,7,77.42,22.58
"Unknown venue","Burlington","VT",NULL,31,24,7,77.42,22.58
"Plymouth Memorial Hall","Plymouth","MA",NULL,31,24,7,77.42,22.58
"Unknown venue","Bellingham","WA",NULL,31,24,7,77.42,22.58
"Unknown venue","Alicante",NULL,NULL,31,24,7,77.42,22.58
"Civic Hall","Cottingham",NULL,NULL,62,48,14,77.42,22.58
"Bungalow Bar","Paisley",NULL,NULL,31,24,7,77.42,22.58
"Stone Church","Newmarket","NH",NULL,31,24,7,77.42,22.58
"Ulster Performing Arts Center (UPAC)","Kingston","NY",NULL,31,24,7,77.42,22.58
"Revolver Upstairs","Melbourne","VIC",320,31,24,7,77.42,22.58
"Canyon Club","Dallas","Texas",0,93,72,21,77.42,22.58
"Storm Club","Prague",NULL,NULL,31,24,7,77.42,22.58
"Zénith de Nancy","Maxeville",NULL,NULL,31,24,7,77.42,22.58
"Safeco Field","Seattle","Washington",0,31,24,7,77.42,22.58
"Z Carniceria","São Paulo",NULL,NULL,31,24,7,77.42,22.58
"Chez Paulette","Toul",NULL,NULL,31,24,7,77.42,22.58
"Manhattan Center Hammerstein Ballroom","New York (NYC)","NY",3500,31,24,7,77.42,22.58
"Dusty Armadillo","Rootstown","Ohio",0,31,24,7,77.42,22.58
"Mandalay Bay Resort & Casino","Las Vegas","Nevada",0,283,219,64,77.39,22.61
"Mulcahy's Pub & Concert Hall","Wantagh","NY",1200,53,41,12,77.36,22.64
"O.P. Rockwell","Park City","UT",NULL,53,41,12,77.36,22.64
"American Family Field","Milwaukee","Wisconsin",41900,53,41,12,77.36,22.64
"Downtown Events Center","Las Vegas","Nevada",0,53,41,12,77.36,22.64
"Crypto.com Arena","Los Angeles","California",0,1359,1051,308,77.34,22.66
"NYCB Theatre at Westbury","Westbury","NY",2800,172,133,39,77.33,22.67
"Lion Arts Factory (formerly Fowlers Live)","Adelaide","SA",NULL,75,58,17,77.33,22.67
"Wolf Den, Mohegan Sun Casino","Uncasville","CT",NULL,119,92,27,77.31,22.69
"Unknown venue","São Paulo",NULL,NULL,185,143,42,77.30,22.70
"Café Del Teatre","Lleida",NULL,NULL,22,17,5,77.27,22.73
"Shrine at Foxwoods","Mashantucket","Connecticut",0,22,17,5,77.27,22.73
"Bokeh Lounge","Evansville","IN",NULL,22,17,5,77.27,22.73
"Rochaus","West Dundee","IL",NULL,110,85,25,77.27,22.73
"Patterson Creations","Attleboro","MA",NULL,22,17,5,77.27,22.73
"Parkbiografen","Skien",NULL,NULL,22,17,5,77.27,22.73
"The HUBS","Sheffield",NULL,NULL,22,17,5,77.27,22.73
"Tante Ju","Dresden",NULL,NULL,66,51,15,77.27,22.73
"Ukiah Brewing Company","Ukiah","CA",NULL,22,17,5,77.27,22.73
"Greeley Stampede","Greeley","CO",NULL,22,17,5,77.27,22.73
"Tom McCall Waterfront Park","Portland","OR",NULL,22,17,5,77.27,22.73
"Grandstand @ Illinois State Fair","Springfield","Illinois",0,22,17,5,77.27,22.73
"The Punchline","Atlanta","GA",NULL,22,17,5,77.27,22.73
"Unknown venue","Düsseldorf",NULL,NULL,44,34,10,77.27,22.73
"Space Mountain","Miami","FL",NULL,22,17,5,77.27,22.73
"Tiki Bar","Costa Mesa","California",0,22,17,5,77.27,22.73
"Bombay Rock","Brunswick","VIC",NULL,22,17,5,77.27,22.73
"Vorplatz Der Congresshalle SaarbrÜcken","Saarbrücken",NULL,NULL,22,17,5,77.27,22.73
"Rock 'n' Roll Milano","Milan",NULL,NULL,22,17,5,77.27,22.73
"Kult 41","Bonn",NULL,NULL,22,17,5,77.27,22.73
"Rockstar Lounge","Fort Wayne","IN",NULL,22,17,5,77.27,22.73
"Rooster's Wife","Aberdeen","NC",NULL,22,17,5,77.27,22.73
"Kiff, Foyer","Aarau",NULL,NULL,22,17,5,77.27,22.73
"Tulsa State Fair","Tulsa","Oklahoma",0,22,17,5,77.27,22.73
"The Red Brick Tavern","Conroe","TX",NULL,22,17,5,77.27,22.73
"Lindenpark","Potsdam",NULL,NULL,44,34,10,77.27,22.73
"Unknown venue","Midland","TX",NULL,22,17,5,77.27,22.73
"Tacoma Dome","Tacoma","WA",NULL,88,68,20,77.27,22.73
"Phoenix Raceway","Phoenix","Arizona",0,22,17,5,77.27,22.73
"The Rev Room","Little Rock","Arkansas",0,22,17,5,77.27,22.73
"Cafe Iguana","Monterrey",NULL,NULL,66,51,15,77.27,22.73
"On The Y","Sacramento","CA",NULL,22,17,5,77.27,22.73
"Balboa Park","San Diego","California",0,22,17,5,77.27,22.73
"Strings Music Pavilion","Steamboat Springs","Colorado",569,22,17,5,77.27,22.73
"Kress Live","Biloxi","Mississippi",0,22,17,5,77.27,22.73
"KAOS","Las Vegas","Nevada",0,22,17,5,77.27,22.73
"Conway Muse","Conway","WA",NULL,22,17,5,77.27,22.73
"Orange County Fairgrounds","Costa Mesa","California",0,66,51,15,77.27,22.73
"Marquee New York","New York","New York",0,44,34,10,77.27,22.73
"New York State Fair Grounds","Syracuse","New York",0,22,17,5,77.27,22.73
"Le Jam","Montpellier",NULL,NULL,22,17,5,77.27,22.73
"Kulturhalle Remchingen","Remchingen",NULL,NULL,22,17,5,77.27,22.73
"Kulturfabrik Löseke","Hildesheim",NULL,NULL,22,17,5,77.27,22.73
"Montbleu Theatre, MontBleu Resort Casino & Spa","South Lake Tahoe","NV",NULL,22,17,5,77.27,22.73
"Marquee","Las Vegas","Nevada",0,44,34,10,77.27,22.73
"Chateau Ste. Michelle","Woodinville","Washington",4200,316,244,72,77.22,22.78
"Mishawaka Amphitheatre","Bellvue","Colorado",0,79,61,18,77.22,22.78
"Speicher","Husum",NULL,NULL,79,61,18,77.22,22.78
"The Chelsea, The Cosmopolitan of Las Vegas","Las Vegas","Nevada",0,149,115,34,77.18,22.82
"Forest Hills Stadium","Queens","NY",NULL,92,71,21,77.17,22.83
"The Bearded Lady","Brisbane","QLD",NULL,92,71,21,77.17,22.83
"Lil' Indies","Orlando","FL",NULL,324,250,74,77.16,22.84
"Unknown venue","Cork",NULL,NULL,35,27,8,77.14,22.86
"Le Tamanoir","Gennevilliers",NULL,NULL,35,27,8,77.14,22.86
"Gottrocks","Greenville","SC",NULL,35,27,8,77.14,22.86
"Bryce Jordan Center","University Park","PA",NULL,35,27,8,77.14,22.86
"Liquid","Madison","Wisconsin",0,35,27,8,77.14,22.86
"Opium","Edinburgh",NULL,NULL,35,27,8,77.14,22.86
"Sun Devil Stadium","Tempe","Arizona",0,35,27,8,77.14,22.86
"Corbin Bowl","Tarzana","CA",NULL,35,27,8,77.14,22.86
"Unknown venue","Malaga",NULL,NULL,35,27,8,77.14,22.86
"Rockpalast","Bochum",NULL,NULL,35,27,8,77.14,22.86
"Unknown venue","Turku",NULL,NULL,35,27,8,77.14,22.86
"Potbelly's","Tallahassee","FL",NULL,35,27,8,77.14,22.86
"Memorial Park","Arcadia","Wisconsin",0,35,27,8,77.14,22.86
"The Microsoft Theatre","Los Angeles","California",0,35,27,8,77.14,22.86
"Coastal Credit Union Music Park at Walnut Creek","Raleigh","NC",20000,35,27,8,77.14,22.86
"MIDFLORIDA Credit Union Amphitheatre, Florida State Fairgrounds","Tampa","Florida",0,1937,1494,443,77.13,22.87
"Tower Theatre","Upper Darby","PA",3100,48,37,11,77.08,22.92
"Zénith Sud","Montpellier",NULL,NULL,48,37,11,77.08,22.92
"Broken City","Calgary","AB",NULL,48,37,11,77.08,22.92
"Le Singe","Biel",NULL,NULL,48,37,11,77.08,22.92
"Auditorio Telmex","Zapopan",NULL,NULL,170,131,39,77.06,22.94
"Unknown venue","Hannover",NULL,NULL,61,47,14,77.05,22.95
"Frank Brown Park","Panama City Beach","Florida",10000,122,94,28,77.05,22.95
"Schmiggity's Live Music Dance Bar","Steamboat Springs","CO",NULL,61,47,14,77.05,22.95
"South Shore Room, Harrah's Lake Tahoe","Stateline","NV",NULL,74,57,17,77.03,22.97
"Avalon Ballroom Theatre, Niagara Fallsview Casino Resort","Niagara Falls","ON",1500,209,161,48,77.03,22.97
"Unknown venue","Cologne",NULL,NULL,126,97,29,76.98,23.02
"Unknown venue","Denver","CO",NULL,191,147,44,76.96,23.04
"HopMonk - Sonoma Tavern Stage","Sonoma","CA",NULL,26,20,6,76.92,23.08
"The Crown","Bristol",NULL,NULL,26,20,6,76.92,23.08
"Le Gueulard Plus","Nilvange",NULL,400,26,20,6,76.92,23.08
"iPlay America","Freehold","New Jersey",0,26,20,6,76.92,23.08
"The Bancroft","Spring Valley","CA",NULL,39,30,9,76.92,23.08
"Grand Casino Mille Lacs Event Center","Onamia","Minnesota",0,26,20,6,76.92,23.08
"The Fox & Newt","Leeds",NULL,NULL,26,20,6,76.92,23.08
"Kulturhalle Abdera","Biberach",NULL,NULL,26,20,6,76.92,23.08
"The Warehouse Project","Manchester",NULL,5000,65,50,15,76.92,23.08
"The Ballroom, Warehouse Live","Houston","Texas",0,26,20,6,76.92,23.08
"P23","Katowice",NULL,NULL,39,30,9,76.92,23.08
"Zénith Amiens Métropole","Amiens",NULL,NULL,52,40,12,76.92,23.08
"Best Friend Bar","Lexington","KY",NULL,26,20,6,76.92,23.08
"Unknown venue","Kent",NULL,NULL,26,20,6,76.92,23.08
"Terra Fermata","Stuart","FL",NULL,39,30,9,76.92,23.08
"Meteor","Windsor","ON",NULL,26,20,6,76.92,23.08
"Malone's Bar & Grill","Santa Ana","CA",NULL,26,20,6,76.92,23.08
"Lambeau Field","Green Bay","Wisconsin",81441,26,20,6,76.92,23.08
"Zouk","Las Vegas","NV",NULL,143,110,33,76.92,23.08
"B17","Poznan",NULL,1500,26,20,6,76.92,23.08
"Levitt Pavilion for the Performing Arts","Westport","Connecticut",2400,26,20,6,76.92,23.08
"Sudhaus, Großer Saal","Tübingen",NULL,NULL,26,20,6,76.92,23.08
"Post-Gazette Pavilion","Pittsburgh","Pennsylvania",0,39,30,9,76.92,23.08
"Unknown venue","Bandung",NULL,NULL,26,20,6,76.92,23.08
"Unknown venue","Wichita","KS",NULL,26,20,6,76.92,23.08
"Walthers Musikcafé","Skanderborg",NULL,185,26,20,6,76.92,23.08
"Shrine Auditorium","Los Angeles","CA",6300,26,20,6,76.92,23.08
"Pier Six Pavillion","Baltimore","Maryland",0,26,20,6,76.92,23.08
"Rockbar Theater","San Jose","California",0,26,20,6,76.92,23.08
"Rich Stadium","Buffalo","New York",0,26,20,6,76.92,23.08
"Chez Paulette","Pagney-Derrière-Barine",NULL,NULL,26,20,6,76.92,23.08
"Globe Theatre","Los Angeles (LA)","CA",NULL,26,20,6,76.92,23.08
"The Jam Spot","Albuquerque","NM",NULL,26,20,6,76.92,23.08
"Arlington Heights Knights of Columbus","Arlington Heights","Illinois",0,26,20,6,76.92,23.08
"Soaring Eagle Casino & Resort","Mount Pleasant","MI",1260,39,30,9,76.92,23.08
"Unknown venue","Fortaleza",NULL,NULL,26,20,6,76.92,23.08
"Sala Pelícano","La Coruna",NULL,3000,26,20,6,76.92,23.08
"Subterania","London",NULL,NULL,26,20,6,76.92,23.08
"Zehntscheuer","Ravensburg",NULL,NULL,39,30,9,76.92,23.08
"Concorde Club","Eastleigh",NULL,NULL,26,20,6,76.92,23.08
"Divadlo Pod Lampou","Pilsen",NULL,300,26,20,6,76.92,23.08
"Brown's Island","Richmond","Virginia",16000,134,103,31,76.87,23.13
"Respectable Street","West Palm Beach","FL",500,134,103,31,76.87,23.13
"Davies Symphony Hall","San Francisco","CA",NULL,311,239,72,76.85,23.15
"Woolly Mammoth","Fortitude Valley","QLD",600,82,63,19,76.83,23.17
"Lola's Trailer Park","Fort Worth","TX",NULL,82,63,19,76.83,23.17
"Maui Arts & Cultural Center","Kahului","Hawaii",0,82,63,19,76.83,23.17
"Red Rock Casino Resort & Spa","Las Vegas","Nevada",0,69,53,16,76.81,23.19
"Verizon Arena","North Little Rock","AR",18000,69,53,16,76.81,23.19
"CenturyLink Center","Bossier City","LA",NULL,56,43,13,76.79,23.21
"El Teatro Flores","Buenos Aires",NULL,NULL,56,43,13,76.79,23.21
"Electric Haze","Worcester","MA",NULL,56,43,13,76.79,23.21
"Effenaar Kleine Zaal","Eindhoven",NULL,300,56,43,13,76.79,23.21
"North Street Cabaret","Madison","WI",NULL,56,43,13,76.79,23.21
"Greek Theatre","Berkeley","CA",8500,142,109,33,76.76,23.24
"The Secret Society Ballroom","Portland","OR",NULL,142,109,33,76.76,23.24
"Landó Foro Norte","Toluca",NULL,NULL,43,33,10,76.74,23.26
"The Rose","Pasadena","California",0,43,33,10,76.74,23.26
"Westworld","Scottsdale","Arizona",0,43,33,10,76.74,23.26
"Academy Of Music","New York","New York",0,86,66,20,76.74,23.26
"Avogadro's Number","Fort Collins","CO",NULL,43,33,10,76.74,23.26
"Coral Sky Amphitheatre at the South Florida Fairgrounds","West Palm Beach","Florida",0,262,201,61,76.72,23.28
"Maui Sugar Mill Saloon","Tarzana","CA",NULL,73,56,17,76.71,23.29
"The State Theatre","Falls Church","VA",800,73,56,17,76.71,23.29
"Club Space","Miami","Florida",2500,73,56,17,76.71,23.29
"Bell's Eccentric Cafe","Kalamazoo","MI",NULL,176,135,41,76.70,23.30
"Petco Park","San Diego","CA",NULL,60,46,14,76.67,23.33
"SILO Dallas","Dallas","Texas",0,30,23,7,76.67,23.33
"The Pavilion @ Concrete Street","Corpus Christi","Texas",0,30,23,7,76.67,23.33
"Le Pont Rouge","Monthey",NULL,NULL,30,23,7,76.67,23.33
"Freund + Kupferstecher","Stuttgart",NULL,NULL,30,23,7,76.67,23.33
"Uptown Theatre","Napa","CA",860,120,92,28,76.67,23.33
"Turning Point","Piermont","NY",NULL,30,23,7,76.67,23.33
"Contemporary Arts Center","New Orleans","Louisiana",0,30,23,7,76.67,23.33
"Viaero Center","Kearney","Nebraska",0,30,23,7,76.67,23.33
"District","Liverpool",NULL,NULL,60,46,14,76.67,23.33
"Surf Ballroom","Clear Lake","IA",NULL,30,23,7,76.67,23.33
"Silvie's Lounge","Chicago","IL",NULL,30,23,7,76.67,23.33
"Unknown venue","Wrocław",NULL,NULL,30,23,7,76.67,23.33
"Unknown venue","Izmir",NULL,NULL,30,23,7,76.67,23.33
"Sunrise Theatre","Fort Pierce","FL",1200,30,23,7,76.67,23.33
"Zouk Nightclub","Las Vegas","Nevada",0,437,335,102,76.66,23.34
"Bill Graham Civic Auditorium","San Francisco","CA",7000,197,151,46,76.65,23.35
"Salvage Station - Indoor Stage","Asheville","NC",NULL,47,36,11,76.60,23.40
"The Firmament","Greenville","SC",NULL,141,108,33,76.60,23.40
"The Cabot","Beverly","Massachusetts",850,47,36,11,76.60,23.40
"The Outpost Concert Club","Kent","OH",NULL,94,72,22,76.60,23.40
"Watergate","Berlin",NULL,NULL,111,85,26,76.58,23.42
"Del Mar Fairgrounds","Del Mar","California",0,918,703,215,76.58,23.42
"Memorial Stadium","Seattle","Washington",0,111,85,26,76.58,23.42
"Echostage","Washington","DC",NULL,145,111,34,76.55,23.45
"National Mall","Washington","District of Columbia",0,81,62,19,76.54,23.46
"Story Nightclub","Miami","Florida",0,149,114,35,76.51,23.49
"Marquee Nightclub & Dayclub, The Cosmopolitan of Las Vegas","Las Vegas","NV",5000,387,296,91,76.49,23.51
"Unknown venue","Murcia",NULL,NULL,51,39,12,76.47,23.53
"Willem Twee poppodium","'s Hertogenbosch",NULL,550,85,65,20,76.47,23.53
"The Lift","Dubuque","IA",NULL,34,26,8,76.47,23.53
"Gigant","Apeldoorn",NULL,NULL,34,26,8,76.47,23.53
"1930MOSCOW","Moscow",NULL,NULL,34,26,8,76.47,23.53
"Brewminatti","Prosser","WA",NULL,34,26,8,76.47,23.53
"Bobik's","Newcastle Upon Tyne",NULL,NULL,51,39,12,76.47,23.53
"Borealis Theater","Palmer","Alaska",0,34,26,8,76.47,23.53
"The Blue Note Grill","Durham","NC",NULL,34,26,8,76.47,23.53
"Sacré","Paris",NULL,NULL,34,26,8,76.47,23.53
"Unknown venue","Gainesville","FL",NULL,34,26,8,76.47,23.53
"Le Minotaure","Gatineau","QC",NULL,68,52,16,76.47,23.53
"Six Flags Over Georgia","Austell","Georgia",0,68,52,16,76.47,23.53
"Stickyz","Little Rock","AR",NULL,34,26,8,76.47,23.53
"Ghost Train Brewing Co.","Birmingham","AL",NULL,34,26,8,76.47,23.53
"Missouri State Fairgrounds Grandstand","Sedalia","Missouri",0,68,52,16,76.47,23.53
"Maine Savings Pavilion at Rock Row","Portland","Maine",0,34,26,8,76.47,23.53
"The Palladium Ballroom","Dallas","Texas",0,34,26,8,76.47,23.53
"Ralph Engelstad Arena","Grand Forks","North Dakota",600,34,26,8,76.47,23.53
"Unknown venue","Rotterdam",NULL,NULL,123,94,29,76.42,23.58
"Foxwoods Resort Casino","Mashantucket","Connecticut",1100,106,81,25,76.42,23.58
"Township Auditorium","Columbia","SC",NULL,89,68,21,76.40,23.60
"New Jersey Performing Arts Center (NJPAC)","Newark","NJ",3352,89,68,21,76.40,23.60
"Country Thunder Arizona","Florence","Arizona",0,72,55,17,76.39,23.61
"Unknown venue","St Louis","Missouri",0,72,55,17,76.39,23.61
"Kick Butt Coffee 1 (Airport Blvd.)","Austin","TX",100,55,42,13,76.36,23.64
"La Batterie","Guyancourt",NULL,NULL,38,29,9,76.32,23.68
"Oddbody's","Dayton","OH",NULL,38,29,9,76.32,23.68
"Geno's Rock Club","Portland","ME",NULL,38,29,9,76.32,23.68
"Jamboree","London",NULL,NULL,38,29,9,76.32,23.68
"Rose Bowl Tavern","Urbana","IL",NULL,38,29,9,76.32,23.68
"The Black Prince","Northampton",NULL,NULL,76,58,18,76.32,23.68
"The Grayston Unity","Halifax",NULL,NULL,38,29,9,76.32,23.68
"Rawhide Event Center","Chandler","AZ",NULL,38,29,9,76.32,23.68
"Township","Chicago","Illinois",0,38,29,9,76.32,23.68
"Gordon Field House, RIT","Rochester","New York",0,38,29,9,76.32,23.68
"Market Hotel","Brooklyn","NY",NULL,156,119,37,76.28,23.72
"The Spire Center for Performing Arts","Plymouth","MA",NULL,59,45,14,76.27,23.73
"Unknown venue","Dresden",NULL,NULL,80,61,19,76.25,23.75
"Atlanta Motor Speedway","Hampton","Georgia",125000,80,61,19,76.25,23.75
"Tweeter Center Chicago","Tinley Park","Illinois",0,63,48,15,76.19,23.81
"Docken","Copenhagen",NULL,NULL,21,16,5,76.19,23.81
"The Cathedral Sanctuary at Immanuel Presbyterian Church","Los Angeles","CA",NULL,21,16,5,76.19,23.81
"Diesel Concert Lounge Detroit","Chesterfield","MI",500,42,32,10,76.19,23.81
"Unknown venue","Norwich",NULL,NULL,42,32,10,76.19,23.81
"Sala Stereo","Alicante",NULL,NULL,21,16,5,76.19,23.81
"Vox Club","Nonantola",NULL,NULL,21,16,5,76.19,23.81
"Sidewalk Cafe","New York","New York",0,21,16,5,76.19,23.81
"Thunder Canyon Brewstillery","Tucson","AZ",NULL,21,16,5,76.19,23.81
"Credit Union of Texas Event Center","Allen","Texas",8100,21,16,5,76.19,23.81
"Innocent","Hengelo",NULL,NULL,21,16,5,76.19,23.81
"Evolution Music of Downers Grove","Downers Grove","IL",NULL,21,16,5,76.19,23.81
"Sunset Station Pavilion","San Antonio","Texas",0,21,16,5,76.19,23.81
"SNHU Arena","Manchester","NH",NULL,21,16,5,76.19,23.81
"The Alley","Sanford","FL",NULL,21,16,5,76.19,23.81
"16 Tons","Moscow",NULL,NULL,21,16,5,76.19,23.81
"Kulturfabrik (Kufa)","Kufstein",NULL,NULL,21,16,5,76.19,23.81
"Unknown venue","Warsaw",NULL,NULL,42,32,10,76.19,23.81
"Rupp Arena","Lexington","KY",NULL,63,48,15,76.19,23.81
"Boogaloop Club","Bogota",NULL,NULL,21,16,5,76.19,23.81
"Cheyenne Frontier Days Park","Cheyenne","Wyoming",0,21,16,5,76.19,23.81
"Jaguar Club","Lemont","Illinois",0,21,16,5,76.19,23.81
"Che Cafe, UC San Diego","La Jolla","CA",NULL,42,32,10,76.19,23.81
"Rider University","Lawrenceville","New Jersey",0,21,16,5,76.19,23.81
"The Kraken Bar & Lounge","Seattle","WA",NULL,63,48,15,76.19,23.81
"Summit","Austin","TX",NULL,21,16,5,76.19,23.81
"Shrine at Foxwoods","Mashantucket","CT",NULL,84,64,20,76.19,23.81
"North Charleston Coliseum","Charleston","South Carolina",0,21,16,5,76.19,23.81
"Unknown venue","Curitiba",NULL,NULL,42,32,10,76.19,23.81
"The Angel Microbrewery","Nottingham",NULL,NULL,63,48,15,76.19,23.81
"Emelin Theatre","Mamaroneck","NY",NULL,42,32,10,76.19,23.81
"Unknown venue","Portland","ME",NULL,21,16,5,76.19,23.81
"Coca-Cola Lakewood Amphitheater","Atlanta","Georgia",18920,21,16,5,76.19,23.81
"Unknown venue","Poitiers",NULL,NULL,21,16,5,76.19,23.81
"Colectivo Coffee","Milwaukee","WI",NULL,42,32,10,76.19,23.81
"Nexus","Brunswick",NULL,NULL,21,16,5,76.19,23.81
"Nebula","New York","New York",0,21,16,5,76.19,23.81
"Greek Theatre-u.c. Berkeley","Berkeley","CA",NULL,21,16,5,76.19,23.81
"Music City Center","Nashville","TN",NULL,21,16,5,76.19,23.81
"Music Hall Loft","Portsmouth","NH",NULL,21,16,5,76.19,23.81
"Jeunesse Arena","Rio de Janeiro",NULL,18000,21,16,5,76.19,23.81
"Scandinavium","Gothenburg",NULL,NULL,21,16,5,76.19,23.81
"Whole Lotta Love","Melbourne","VIC",NULL,21,16,5,76.19,23.81
"Q & Z Expo Center","Wausau","WI",NULL,21,16,5,76.19,23.81
"Schwarzer Adler","Rheinberg",NULL,NULL,21,16,5,76.19,23.81
"Muziekcentrum Enschede","Enschede",NULL,NULL,21,16,5,76.19,23.81
"The Carson Center for the Performing Arts","Paducah","Kentucky",0,21,16,5,76.19,23.81
"Lerner Theater","Elkhart","IN",NULL,21,16,5,76.19,23.81
"Amigo's Cantina","Saskatoon","SK",NULL,21,16,5,76.19,23.81
"Black Forge Coffee House","Pittsburgh","PA",NULL,42,32,10,76.19,23.81
